# KE    Fraction
  0.0   0.110097
 25.0   0.010042
 50.0   0.115358
 75.0   0.034262
100.0   0.049551
125.0   0.081430
150.0   0.104657
175.0   0.117109
200.0   0.121627
225.0   0.127007
250.0   0.143920
275.0   0.182623
300.0   0.240993
325.0   0.298414
350.0   0.299492
375.0   0.242428
400.0   0.159623
425.0   0.068771
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.003707
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000273
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000019
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000001
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
