#KE	frac
0	0.5454545454545454
50	0.5789473684210527
100	0.5697334019125562
150	0.4191293848985056
200	0.3844969863524683
250	0.25207580283438813
300	0.21599839047444616
350	0.21966063333530716
400	0.14226256396547773
450	0.08777376912179861
500	0.06568772174634381
550	0.043765533479644785
600	0.03429203539823009
650	0.03601037034121768
700	0.04050626681288461
750	0.03565383146846396
800	0.036033749334647175
850	0.035173509346600004
900	0.029404982846859006
950	0.027133831902208826
1000	0.027064623514332836
