# KE    Fraction
  0.0   0.591468
 25.0   1.030514
 50.0   0.407404
 75.0   0.240107
100.0   0.227984
125.0   0.275196
150.0   0.301465
175.0   0.326028
200.0   0.348766
225.0   0.308769
250.0   0.245874
275.0   0.229188
300.0   0.233501
325.0   0.214899
350.0   0.147577
375.0   0.126476
400.0   0.157852
425.0   0.169814
450.0   0.168567
475.0   0.170859
500.0   0.175489
525.0   0.177309
550.0   0.176238
575.0   0.173436
600.0   0.169856
625.0   0.166312
650.0   0.163204
675.0   0.160783
700.0   0.158884
725.0   0.157301
750.0   0.156201
775.0   0.155586
800.0   0.154452
825.0   0.151959
850.0   0.148851
875.0   0.145998
900.0   0.143142
925.0   0.139916
950.0   0.136669
975.0   0.133944
1000.0   0.132289
