#KE	frac
0	0.29679187274428553
50	0.18981161594232254
100	0.12621798954364075
150	0.09039632185153336
200	0.08884060849943679
250	0.11074130473923767
300	0.13496226751892318
350	0.16559221377511577
400	0.18342452526552944
450	0.19320301641765114
500	0.1998630643115336
550	0.19879254353010012
600	0.17387046012585952
650	0.15063384663244672
700	0.1350409356725146
750	0.12688115824411358
800	0.1247050847714221
850	0.12943233843986618
900	0.11143973214285713
950	0.1148624851993924
1000	0.09757278736992109
