# KE    Fraction
  0.0   0.118712
 25.0   0.324129
 50.0   0.127763
 75.0   0.021044
100.0   0.059541
125.0   0.131831
150.0   0.180794
175.0   0.213772
200.0   0.233797
225.0   0.234917
250.0   0.207929
275.0   0.160690
300.0   0.131167
325.0   0.174185
350.0   0.311259
375.0   0.297770
400.0   0.165535
425.0   0.056432
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.002652
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000193
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000014
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000001
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
