# KE    Fraction
  0.0   0.096423
 25.0   0.162586
 50.0   0.273852
 75.0   0.365153
100.0   0.412657
125.0   0.406211
150.0   0.386447
175.0   0.388502
200.0   0.404453
225.0   0.420159
250.0   0.437223
275.0   0.458438
300.0   0.470305
325.0   0.456841
350.0   0.430139
375.0   0.410496
400.0   0.395276
425.0   0.375708
450.0   0.352761
475.0   0.329914
500.0   0.308016
525.0   0.287145
550.0   0.268149
575.0   0.251573
600.0   0.236065
625.0   0.220206
650.0   0.204324
675.0   0.189244
700.0   0.175354
725.0   0.162787
750.0   0.151711
775.0   0.142282
800.0   0.134666
825.0   0.128878
850.0   0.124574
875.0   0.121428
900.0   0.119309
925.0   0.118109
950.0   0.117592
975.0   0.117488
1000.0   0.117540
