# KE    Fraction
  0.0   0.105764
 25.0   0.002543
 50.0   0.054848
 75.0   0.093357
100.0   0.136179
125.0   0.127144
150.0   0.083340
175.0   0.066257
200.0   0.068983
225.0   0.067880
250.0   0.062933
275.0   0.060332
300.0   0.061018
325.0   0.064392
350.0   0.069020
375.0   0.072803
400.0   0.075901
425.0   0.079394
450.0   0.083286
475.0   0.087091
500.0   0.090070
525.0   0.091532
550.0   0.091187
575.0   0.089012
600.0   0.085644
625.0   0.081858
650.0   0.078166
675.0   0.075045
700.0   0.072831
725.0   0.071672
750.0   0.071291
775.0   0.071339
800.0   0.071632
825.0   0.071983
850.0   0.072003
875.0   0.071362
900.0   0.070197
925.0   0.068738
950.0   0.067128
975.0   0.065496
1000.0   0.063983
