# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000007
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000079
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001326
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.036183
400.0   0.095532
425.0   0.161963
450.0   0.215274
475.0   0.238558
500.0   0.248023
525.0   0.265523
550.0   0.289528
575.0   0.313473
600.0   0.337696
625.0   0.363854
650.0   0.390675
675.0   0.415984
700.0   0.438969
725.0   0.459422
750.0   0.477052
775.0   0.491760
800.0   0.504210
825.0   0.515199
850.0   0.524873
875.0   0.533207
900.0   0.540455
925.0   0.546871
950.0   0.552355
975.0   0.556696
1000.0   0.559673
