#KE	frac
0	0.0024366860946712066
50	0.004275136013389004
100	0.0045922763015040415
150	0.007517299893686389
200	0.012786749130353091
250	0.018728997516784838
300	0.026610630870565463
350	0.034338214446322464
400	0.10533273450956206
450	0.14763839805767054
500	0.18273234572429511
550	0.22610173689129162
600	0.2760462626456947
650	0.3169193229377934
700	0.3434025537368922
750	0.36935535765897926
800	0.3558474243020055
850	0.37912495436466004
900	0.39562621961183897
950	0.4052572869198101
1000	0.42674908542932777
